"ID","CONSTELLATION_ID","CONSTELLATION_NAME","REGION_ID","REGION_NAME","SYSTEM_ID","SYSTEM_NAME"
"1","20000781","Urpiken","10000069","Black Rise","30045306","Hykanima"
"2","20000781","Urpiken","10000069","Black Rise","30045307","Okagaiken"
"3","20000781","Urpiken","10000069","Black Rise","30045308","Kehjari"
"4","20000781","Urpiken","10000069","Black Rise","30045309","Villasen"
"5","20000781","Urpiken","10000069","Black Rise","30045310","Sarenemi"
"6","20000781","Urpiken","10000069","Black Rise","30045311","Ashitsu"
"7","20000781","Urpiken","10000069","Black Rise","30045312","Korasen"
"8","20000781","Urpiken","10000069","Black Rise","30045313","Ienakkamon"
"9","20000782","Okakuola","10000069","Black Rise","30045345","Hirri"
"10","20000782","Okakuola","10000069","Black Rise","30045346","Kedama"
"11","20000782","Okakuola","10000069","Black Rise","30045347","Oinasiken"
"12","20000782","Okakuola","10000069","Black Rise","30045348","Notoras"
"13","20000782","Okakuola","10000069","Black Rise","30045349","Rakapas"
"14","20000782","Okakuola","10000069","Black Rise","30045350","Teimo"
"15","20000782","Okakuola","10000069","Black Rise","30045351","Iwisoda"
"16","20000782","Okakuola","10000069","Black Rise","30045352","Nisuwa"
"17","20000782","Okakuola","10000069","Black Rise","30045353","Pynekastoh"
"18","20000782","Okakuola","10000069","Black Rise","30045354","Reitsato"
"19","20000783","Inolari","10000069","Black Rise","30045314","Kinakka"
"20","20000783","Inolari","10000069","Black Rise","30045315","Raihbaka"
"21","20000783","Inolari","10000069","Black Rise","30045316","Innia"
"22","20000783","Inolari","10000069","Black Rise","30045317","Iralaja"
"23","20000783","Inolari","10000069","Black Rise","30045318","Martoh"
"24","20000783","Inolari","10000069","Black Rise","30045319","Eha"
"25","20000783","Inolari","10000069","Black Rise","30045320","Pavanakka"
"26","20000784","Aokinen","10000069","Black Rise","30045321","Uchomida"
"27","20000784","Aokinen","10000069","Black Rise","30045322","Samanuni"
"28","20000784","Aokinen","10000069","Black Rise","30045323","Astoh"
"29","20000784","Aokinen","10000069","Black Rise","30045324","Onnamon"
"30","20000784","Aokinen","10000069","Black Rise","30045325","Rohamaa"
"31","20000784","Aokinen","10000069","Black Rise","30045326","Uuhulanen"
"32","20000784","Aokinen","10000069","Black Rise","30045327","Tsuruma"
"33","20000784","Aokinen","10000069","Black Rise","30045328","Ahtila"
"34","20000784","Aokinen","10000069","Black Rise","30045329","Ichoriya"
"35","20000785","Ishaga","10000069","Black Rise","30045338","Hikkoken"
"36","20000785","Ishaga","10000069","Black Rise","30045339","Enaluri"
"37","20000785","Ishaga","10000069","Black Rise","30045340","Aivonen"
"38","20000785","Ishaga","10000069","Black Rise","30045341","Hallanen"
"39","20000785","Ishaga","10000069","Black Rise","30045342","Akidagi"
"40","20000785","Ishaga","10000069","Black Rise","30045343","Immuri"
"41","20000785","Ishaga","10000069","Black Rise","30045344","Nennamaila"
